id,cell,soh,soc,temperature,M,mu,RMS_error
5172,1.0,97.0,40.0,45.0,22,0.4543273856260781,0.009737628411048428
5155,1.0,97.0,10.0,35.0,24,0.3839448097314302,0.007129036403394499
5161,1.0,97.0,10.0,45.0,22,0.4368004345818025,0.008790727162730924
5162,1.0,97.0,10.0,45.0,21,0.45531092493068115,0.010891063899731783
5163,1.0,97.0,10.0,45.0,21,0.4857486388725225,0.011170132532327855
5118,1.0,96.0,90.0,25.0,29,0.28946433569697516,0.007038214416557816
5124,1.0,96.0,90.0,35.0,26,0.4968529735330376,0.005514718204544881
5150,1.0,96.0,90.0,45.0,23,0.4534920051305359,0.00686003109824607
5151,1.0,96.0,90.0,45.0,23,0.44355339865127896,0.008298788114459936
5152,1.0,96.0,90.0,45.0,24,0.38600512648804297,0.006538920482016743
5153,1.0,96.0,90.0,45.0,24,0.4529595436224344,0.00771380784246812
5154,1.0,96.0,90.0,45.0,27,0.38937708769999135,0.007575226311348925
5116,1.0,96.0,50.0,25.0,26,0.3692839272747983,0.003201778667215034
5123,1.0,96.0,50.0,35.0,26,0.36186629528777325,0.012633812679196022
5145,1.0,96.0,50.0,45.0,26,0.430236848120792,0.0022582389010084632
